datetime,headline,source,url,summary,related,image,lang,hasPaywall,qmUrl,imageUrl,id,key,subkey,date,updated
2019-10-25 12:32:00,U.S. Stocks Set to Open Flat as Amazon Earnings Disappoint,CityFalcon,https://cloud.iexapis.com/v1/news/article/c3c4b487-c16a-45e1-81eb-961a7f064bbc,"A bumper week of earnings may be catching the eye of investors this week, but trade tensions are never far away.",AMZN,https://cloud.iexapis.com/v1/news/image/c3c4b487-c16a-45e1-81eb-961a7f064bbc,en,True,https://www.barrons.com/articles/u-s-stocks-set-to-open-flat-as-amazon-earnings-disappoint-51572006730?mod=bol-social-tw&utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,https://images.barrons.com/im-90552/social,NEWS,AMZN,c3c4b487-c16a-45e1-81eb-961a7f064bbc,1572006720000,1573131655000
2019-10-25 13:11:12,Wall St treads water after mixed earnings reports,CityFalcon,https://cloud.iexapis.com/v1/news/article/aad9c260-5a9b-4e9e-bd0a-ebf1248c0c5f,"Wall Street was set to open flat on Friday, as a dour sales forecast from Amazon overshadowed a clutch of strong results in what has so far been an upbeat third-quarter earnings season.",AMZN,https://cloud.iexapis.com/v1/news/image/aad9c260-5a9b-4e9e-bd0a-ebf1248c0c5f,en,False,https://www.reuters.com/article/us-usa-stocks/wall-st-treads-water-after-mixed-earnings-reports-idUSKBN1X41H3?feedName=businessNews&feedType=RSS&utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,https://s2.reutersmedia.net/resources/r/?m=02&d=20191025&t=2&i=1444866011&w=1200&r=LYNXMPEF9O0WB,NEWS,AMZN,aad9c260-5a9b-4e9e-bd0a-ebf1248c0c5f,1572009072000,1573132468000
2019-10-25 08:05:29,Amazon launches first own-brand skincare line: here''s our verdict,CityFalcon,https://cloud.iexapis.com/v1/news/article/ecc8f9a3-689b-4257-8a88-247545803980,We try before you buy,AMZN,https://cloud.iexapis.com/v1/news/image/ecc8f9a3-689b-4257-8a88-247545803980,en,False,https://www.standard.co.uk/beauty/amazon-belei-own-brand-skincare-launch-review-a4269131.html?utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,https://static.standard.co.uk/s3fs-public/thumbnails/image/2019/10/23/16/belei21927.jpg,NEWS,AMZN,ecc8f9a3-689b-4257-8a88-247545803980,1571990729000,1573132402000
2019-10-25 12:01:39,Wall Street slips at open as Amazon weighs,CityFalcon,https://cloud.iexapis.com/v1/news/article/f4fa06ba-d6cf-48ae-a28c-ab06f128a405,"REUTERS: Wall Street opened marginally lower on Friday, as a dour sales forecast from Amazon overshadowed another set of strong results in what …",AMZN,https://cloud.iexapis.com/v1/news/image/f4fa06ba-d6cf-48ae-a28c-ab06f128a405,en,False,https://www.channelnewsasia.com/news/business/wall-street-slips-at-open-as-amazon-weighs-12035500?utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,"https://cna-sg-res.cloudinary.com/image/upload/q_auto,f_auto/image/8695368/16x9/991/557/e9615d3f8fac5a826ae3bfa657aec6ec/or/business.png",NEWS,AMZN,f4fa06ba-d6cf-48ae-a28c-ab06f128a405,1572004899000,1573131203000
2019-10-25 13:30:07,"$AMZN would be somewhere between $1,598.18 and $1,672.76 by 25 October 2019.",CityFalcon,https://cloud.iexapis.com/v1/news/article/4269bd87-ef1d-4b06-8f72-d8b0b2a6ef52,WhoTrades - Social network for traders,AMZN,https://cloud.iexapis.com/v1/news/image/4269bd87-ef1d-4b06-8f72-d8b0b2a6ef52,en,False,https://whotrades.com/feed/5164457?utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,https://whotrades.com/blog/43812574412/snapshot/default,NEWS,AMZN,4269bd87-ef1d-4b06-8f72-d8b0b2a6ef52,1572010207000,1573131835000
2019-10-25 06:10:35,Asian indices trade mixed amid focus on earnings,CityFalcon,https://cloud.iexapis.com/v1/news/article/60087e59-27c0-40ed-bbce-e61588d8e4ba,Asia Market Update: Asian indices trade mixed amid focus on earnings; AMZN declined in US afterhours trading after guidance General Trend: - Nikkei we,AMZN,https://cloud.iexapis.com/v1/news/image/60087e59-27c0-40ed-bbce-e61588d8e4ba,en,False,https://www.fxstreet.com/analysis/asian-indices-trade-mixed-amid-focus-on-earnings-201910250610?utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,https://editorial.fxstreet.com/images/Macroeconomics/Countries/Asia/asia-and-global-business-gm168716213-16133860_Large.jpg,NEWS,AMZN,60087e59-27c0-40ed-bbce-e61588d8e4ba,1571983835000,1573132339000
2019-10-25 12:45:02,"Wall Street ouvre en baisse, fragilisée par les résultats d''Amazon",CityFalcon,https://cloud.iexapis.com/v1/news/article/05d0f263-ab99-4a00-8bad-cd7ebe7ed329,"Wall Street reculait à l''ouverture, lestée par les résultats décevants d''Amazon au troisième trimestre, publiés la veille après la clôture: le Dow Jones reculait de 0,12% et le Nasdaq de 0,43%.",AMZN,https://cloud.iexapis.com/v1/news/image/05d0f263-ab99-4a00-8bad-cd7ebe7ed329,fr,False,https://www.lalibre.be/economie/placements/wall-street-ouvre-en-baisse-fragilisee-par-les-resultats-d-amazon-5db2fbf29978e218e375517b?utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,https://t1.llb.be/Hm6eJ7D-DMg_YZt2KW17T5DL4qI=/0x37:2560x1317/140x70/5db2fc579978e218e375517f.jpg,NEWS,AMZN,05d0f263-ab99-4a00-8bad-cd7ebe7ed329,1572007502000,1573132372000
2019-10-25 01:09:28,Amazon Slumps Following Light Revenue Guidance: 6 Key Takeaways,CityFalcon,https://cloud.iexapis.com/v1/news/article/049d7dc0-48f8-4e5a-a644-886b61122088,"Though Amazon comfortably beat Q3 revenue estimates and reported accelerating e-commerce growth, it''s guiding for slower Q4 growth.",AMZN,https://cloud.iexapis.com/v1/news/image/049d7dc0-48f8-4e5a-a644-886b61122088,en,False,https://www.thestreet.com/investing/earnings/amazon-slumps-following-light-revenue-guidance-6-key-takeaways-15140338?utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,http://s.thestreet.com/files/tsc/v2008/photos/contrib/uploads/6b546226-8701-11e9-b9f3-61394c0dffea.png,NEWS,AMZN,049d7dc0-48f8-4e5a-a644-886b61122088,1571965768000,1573131937000
2019-10-25 13:23:52,Amazon slides as U.S. stocks struggle for direction,CityFalcon,https://cloud.iexapis.com/v1/news/article/c1ecbd71-2075-4ca2-b92d-9ff460497705,Nearly 80 percent of companies have exceeded quarterly expectations.,AMZN,https://cloud.iexapis.com/v1/news/image/c1ecbd71-2075-4ca2-b92d-9ff460497705,en,False,https://www.foxbusiness.com/markets/amazon-weighs-on-u-s-stock-market?utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2019/08/0/0/AP19211531618505.jpg?ve=1&tl=1,NEWS,AMZN,c1ecbd71-2075-4ca2-b92d-9ff460497705,1572009832000,1573132087000
2019-10-25 08:24:00,Aktie unter Druck: Amazon meldet Gewinneinbruch,CityFalcon,https://cloud.iexapis.com/v1/news/article/299bafe8-0fdd-4b10-a014-e4388688d03d,"Der weltgrößte Online-Händler Amazon nimmt viel Geld in die Hand, um Pakete innerhalb von 24 Stunden zu liefern. Das drückt den Gewinn erheblich. Zudem ist der Ausblick aufs Weihnachtsquartal verhalten. Anleger reagieren enttäuscht und schicken die Aktie auf Talfahrt.",AMZN,https://cloud.iexapis.com/v1/news/image/299bafe8-0fdd-4b10-a014-e4388688d03d,de,False,"https://www.channelpartner.de/a/amazon-meldet-gewinneinbruch,3608390?amp%3Butm_campaign=RSS-Feeds&amp%3Butm_medium=RSS&utm_campaign=cityfalcon&utm_medium=cityfalcon&utm_source=cityfalcon",https://images.channelpartner.de/bdb/3258996/765x431.jpg,NEWS,AMZN,299bafe8-0fdd-4b10-a014-e4388688d03d,1571991840000,1573132340000
