,symbol,id,expirationDate,contractSize,strikePrice,closingPrice,side,type,volume,openInterest,bid,ask,lastUpdated,isAdjusted
782,AMZN,AMZN20191122C02017500,20191122,100,2017.5,0.65,call,equity,0,33,0.0,0.13,2019-11-21,False
783,AMZN,AMZN20191122C01922500,20191122,100,1922.5,0.09,call,equity,2,15,0.0,0.13,2019-11-21,False
784,AMZN,AMZN20191122C01847500,20191122,100,1847.5,0.08,call,equity,3,71,0.0,0.14,2019-11-21,False
785,AMZN,AMZN20191122C01915000,20191122,100,1915.0,0.66,call,equity,0,53,0.0,0.13,2019-11-21,False
786,AMZN,AMZN20191122C01962500,20191122,100,1962.5,0.25,call,equity,0,31,0.0,0.13,2019-11-21,False
787,AMZN,AMZN20191122C02037500,20191122,100,2037.5,0.11,call,equity,0,19,0.0,0.13,2019-11-21,False
788,AMZN,AMZN20191122C02055000,20191122,100,2055.0,0.07,call,equity,0,7,0.0,0.13,2019-11-21,False
789,AMZN,AMZN20191122C01935000,20191122,100,1935.0,0.16,call,equity,0,94,0.01,0.13,2019-11-21,False
790,AMZN,AMZN20191122C01842500,20191122,100,1842.5,0.11,call,equity,7,178,0.05,0.16,2019-11-21,False
791,AMZN,AMZN20191122C01895000,20191122,100,1895.0,0.15,call,equity,0,61,0.0,0.13,2019-11-21,False
792,AMZN,AMZN20191122C01907500,20191122,100,1907.5,0.37,call,equity,0,32,0.01,0.13,2019-11-21,False
793,AMZN,AMZN20191122C01852500,20191122,100,1852.5,0.05,call,equity,51,72,0.0,0.13,2019-11-21,False
794,AMZN,AMZN20191122C02022500,20191122,100,2022.5,0.58,call,equity,0,4,0.0,0.13,2019-11-21,False
795,AMZN,AMZN20191122C01967500,20191122,100,1967.5,0.7,call,equity,0,146,0.0,0.13,2019-11-21,False
796,AMZN,AMZN20191122C02045000,20191122,100,2045.0,0.33,call,equity,0,5,0.0,0.13,2019-11-21,False
797,AMZN,AMZN20191122C01942500,20191122,100,1942.5,0.32,call,equity,0,36,0.0,0.13,2019-11-21,False
798,AMZN,AMZN20191122C01837500,20191122,100,1837.5,0.12,call,equity,2,375,0.01,0.11,2019-11-21,False
799,AMZN,AMZN20191122C01897500,20191122,100,1897.5,0.6,call,equity,0,93,0.0,0.13,2019-11-21,False
800,AMZN,AMZN20191122C01875000,20191122,100,1875.0,0.05,call,equity,11,186,0.0,0.05,2019-11-21,False
801,AMZN,AMZN20191122C01985000,20191122,100,1985.0,0.49,call,equity,0,15,0.0,0.13,2019-11-21,False
802,AMZN,AMZN20191122C01892500,20191122,100,1892.5,0.04,call,equity,20,102,0.0,0.13,2019-11-21,False
803,AMZN,AMZN20191122C02007500,20191122,100,2007.5,0.25,call,equity,0,11,0.0,0.03,2019-11-21,False
804,AMZN,AMZN20191122C01877500,20191122,100,1877.5,0.35,call,equity,0,131,0.0,0.13,2019-11-21,False
805,AMZN,AMZN20191122C01952500,20191122,100,1952.5,0.1,call,equity,0,5,0.0,0.13,2019-11-21,False
806,AMZN,AMZN20191122C01932500,20191122,100,1932.5,0.35,call,equity,0,13,0.0,0.05,2019-11-21,False
807,AMZN,AMZN20191122C01995000,20191122,100,1995.0,0.19,call,equity,0,99,0.0,0.13,2019-11-21,False
808,AMZN,AMZN20191122C02012500,20191122,100,2012.5,0.36,call,equity,0,5,0.0,0.13,2019-11-21,False
809,AMZN,AMZN20191122C01992500,20191122,100,1992.5,0.45,call,equity,0,11,0.0,0.13,2019-11-21,False
810,AMZN,AMZN20191122C01882500,20191122,100,1882.5,0.27,call,equity,0,105,0.0,0.11,2019-11-21,False
811,AMZN,AMZN20191122C01865000,20191122,100,1865.0,0.1,call,equity,0,206,0.0,0.13,2019-11-21,False
812,AMZN,AMZN20191122C01905000,20191122,100,1905.0,0.37,call,equity,0,92,0.01,0.13,2019-11-21,False
813,AMZN,AMZN20191122C02047500,20191122,100,2047.5,0.16,call,equity,0,1,0.0,0.13,2019-11-21,False
814,AMZN,AMZN20191122C02005000,20191122,100,2005.0,0.34,call,equity,0,13,0.0,0.03,2019-11-21,False
815,AMZN,AMZN20191122C02035000,20191122,100,2035.0,0.01,call,equity,100,62,0.0,0.01,2019-11-21,False
816,AMZN,AMZN20191122C02027500,20191122,100,2027.5,0.37,call,equity,0,11,0.0,0.13,2019-11-21,False
817,AMZN,AMZN20191122C02002500,20191122,100,2002.5,0.81,call,equity,0,14,0.0,0.03,2019-11-21,False
818,AMZN,AMZN20191122C01965000,20191122,100,1965.0,0.03,call,equity,1,4,0.0,0.13,2019-11-21,False
819,AMZN,AMZN20191122C01957500,20191122,100,1957.5,0.01,call,equity,0,3,0.0,0.13,2019-11-21,False
